GKGRECORDID,DATE,first_sentence
20181018000000-1090,2018-10-18,A Silicon Valley billionaire has accused rivals of hoarding money instead of using it to make the world a better place.
20181018000000-1683,2018-10-18,"SWEDISH PALKen Howery, the co-founder of Paypal, has been named as Donald Trump's new ambassador to Sweden."
20181018000000-1790,2018-10-18,"The businessman appointed to lead sinking angling company Fishing Republic has cancelled plans to join as boss, sparking fears the chain is headed for collapse."
20181018000000-1982,2018-10-18,Property entrepreneur Robert Tchenguiz has refused to say sorry to Grant Thornton over a multi-million pound lawsuit he abandoned earlier this week.
20181018000000-2728,2018-10-18,"Defiant Unilever boss Paul Polman has defended a controversial attempt to move the company’s headquarters to the Netherlands, after the bid was sunk by a shareholder rebellion."
20181018000000-821,2018-10-18,There was a tale of two housebuilders on the FTSE 350 as major developers disagreed over the state of the property market.
20181018094500-425,2018-10-18,Games Workshop spooked investors today with an unscheduled trading update warning of 'uncertainties in the trading periods ahead'.
20181018100000-1234,2018-10-18,"Domino's Pizzasaw its year-on-year sales rise over 6 per cent this summer, despite 'evident uncertainty' among customers and hot weather across Europe."
20181018100000-544,2018-10-18,"The FTSE 100 closed down 27.61 points at 7,026.99 and the pound has taken a slight tumble to just above $1.30 against the dollar."
20181018120000-882,2018-10-18,"Sales of food slowed to their lowest level for three years in September, new data from the Office for National Statistics reveals."
20181019001500-1374,2018-10-19,Punters placing bets on their mobiles during the World Cup helped boost business at Ladbrokes owner GVC.
20181019001500-1602,2018-10-19,Unilever sought to put rows over fat cat pay and its headquarters behind it as it posted a solid rise in sales.
20181019001500-1727,2018-10-19,BT NO-GOThe former boss of UK mobile network O2 has sought to dampen rumours he is in the running to be the next boss of BT.
20181019001500-446,2018-10-19,Plans  to open more stores and buy back £25million of shares at Domino's Pizza Group have helped counteract cooling sales growth.
20181019001500-65,2018-10-19,Hundreds of passengers have been left stranded after Chinese-backed Cypriot airline Cobalt crashed into administration.
20181019093000-1158,2018-10-19,"Shares in shopping centre group Intu jumped more than 14 per cent on Friday after a consortium of investors, led by property mogul John Whittaker, upped its takeover bid."
20181019093000-595,2018-10-19,"The well-documented troubles gripping the UK's High Streets have brought a wide-spread malaise over the retail sector, with most retail stocks coming under pressure."
20181019093000-872,2018-10-19,"The footsie got off to a good start on Friday morning, surging 0.3 per cent to 7,047.96."
20181019140000-2744,2018-10-19,Shares in car dealer Pendragon plunged 20 per cent today after it issued a profit warning as sales and stock were hit by the launch of a new European Union (EU) vehicle emissions testing regime.
20181019234500-1157,2018-10-19,Property mogul John Whittaker has launched a £2.9bn takeover bid for one of Britain's biggest shopping centre groups.
20181019234500-1292,2018-10-19,The Italian banking sector was hit by a sharp sell-off and its debt costs surged amid fears of a massive row with the EU.
20181019234500-1487,2018-10-19,Successful poker play is all about the element of surprise.
20181019234500-2070,2018-10-19,The Chinese economy is growing at its slowest rate since the financial crisis.
20181019234500-362,2018-10-19,The London Stock Exchange is buying £385m of British clearing house LCH in a vote of confidence for London after Brexit.
20181019234500-978,2018-10-19,Shares in car dealer Pendragon careered off course after it warned that profits will be lower than previously expected.
20181020090000-58,2018-10-20,Funding Circle sought to put its dismal start as a public company behind it as it revealed its loan book had ballooned 61 per cent by the end of September.
20181020090000-653,2018-10-20,The Mail today launches a campaign to give thousands of savers who own shares online a fair say in company votes.
20181020231500-1064,2018-10-20,"Former Camelot chief executive Dame Dianne Thompson has hit the jackpot, scooping £800,000 from her former company four years after she retired."
20181020231500-1088,2018-10-20,Struggling department store Debenhams is preparing a radical overhaul of its 200-year-old business that will include reviewing its store portfolio and slashing its dividend to zero.
20181020231500-246,2018-10-20,Six months ago Britain's favourite posh coffee and cake shop Patisserie Valerie was flying.
20181020231500-305,2018-10-20,"Losses have increased six-fold at shirt retailer Thomas Pink, as the company feels the impact of an upcoming relaunch aimed at taking the brand further upmarket."
20181020231500-373,2018-10-20,"The owners of directory enquiries service 118 118 pocketed a £64million dividend last year, despite a tenth-consecutive fall in turnover at the telecoms firm."
20181020231500-549,2018-10-20,New WPP boss Mark Read's baptism of fire is set to continue this week as he unveils disappointing figures to the City.
20181020231500-771,2018-10-20,"Michelin-starred TV chef Gordon Ramsay has registered a new trademark, prompting speculation he might be about to launch a chain of burger restaurants."
20181020231500-922,2018-10-20,"A third of FTSE-listed general retailers have issued profit warnings so far this year, according to research by EY highlighting the growing strain on the sector."
20181021223000-1285,2018-10-21,UK-owned firms are losing ground to foreign-owned companies which are twice as productive.
20181021223000-1368,2018-10-21,Make up and skincare fanatics splashed out £25billion on beauty products last year as the sector defied the High Street slump.
20181021223000-282,2018-10-21,Debenhams is preparing to freeze payments to shareholders and axe up to a third of its stores in a desperate bid to revive its fortunes.
20181021223000-607,2018-10-21,BAE Systems staff will attend this week's controversial 'Davos in the desert' in Saudi Arabia despite growing pressure over the alleged state-sponsored murder of a journalist.
20181021223000-655,2018-10-21,FTSE 250 engineer Babcock is set to shut its Appledore shipyard in north Devon next month risking up to 200 jobs.
20181022081500-1431,2018-10-22,"The blue chip index started the week on a positive note, but gains were eroded in the afternoon, closing down 7 points at 7,042."
20181022131500-1690,2018-10-22,Dr Martens' iconic heavy boots are still in style it seems as the British brand continues to stamp its authority across the globe.
20181022131500-963,2018-10-22,"Ryanair raked in an astonishing £1.1billion in six months in charges for extras, such as baggage, priority boarding and choosing seats, it revealed today."
20181022173000-1227,2018-10-22,"Mobile phone operator O2 has put its £10billion stock market flotation on hold until after Brexit amid market uncertainty, it has been reported."
20181022214500-1010,2018-10-22,Prosecutors are seeking fresh fraud charges against Barclays over a controversial fundraising in Qatar.
20181022220000-1162,2018-10-22,Zara shrugged off the High Street gloom to post a jump in sales and profits last year.
20181022220000-1362,2018-10-22,Paddy Power Betfair's ex-boss has joined a fast-growing fintech firm.
20181022220000-1583,2018-10-22,Dr Martens profits soared by a third to £50 million last year as celebrity endorsements helped boost demand in America and Asia.
20181022220000-1596,2018-10-22,Glencore's boss will step down from the top job in three to five years.
20181022220000-198,2018-10-22,SCREEN SCOOPCinema chain Vue has bought German rival Cinestar for £196 million.
20181022220000-2248,2018-10-22,A company director twice convicted of heroin possession was behind the sacking of a whistleblower at his oil exploration business.
20181022220000-2476,2018-10-22,A canny punt on a tiny window replacement company has made fund house Invesco close to £1 million in a day.
20181022220000-2661,2018-10-22,The UK's second-largest investment platform has bought a rival for £40 million.
20181023074500-1156,2018-10-23,"The Footsie plummeted through 7,000 for the first time in six months as spooked investors around the world sold off shares."
20181023120000-1158,2018-10-23,Britain's biggest wealth manager St James’s Place has announced that assets under management topped £100billion despite growing uncertainty in the financial markets.
20181023120000-2187,2018-10-23,Whitbread has reported a small increase in profits as it prepares to focus on the growth of its Premier Inn hotel business after selling Costa Coffee for £3.9billion to Coca Cola in August.
20181023120000-2390,2018-10-23,Steep declines at DIY chain Wickes over the last three months have overshadowed an otherwise sturdy performance from parent company Travis Perkins.
20181023161500-367,2018-10-23,London’s leading FTSE 100 share index slid sharply to a six-month low today as spooked investors around the world sold off shares.
20181023223000-158,2018-10-23,One of Acacia Mining's senior managers in Tanzania has been charged by the country's anti-corruption agency.
20181023223000-1851,2018-10-23,Earnings at Iceland slumped by £4.6 million after distribution costs increased.
20181023223000-354,2018-10-23,Persimmon faces mounting anger over the 'shoddy' quality of its work across the country.
20181023223000-433,2018-10-23,Major investors in Patisserie Valerie are piling pressure on boss Luke Johnson to hand over control of an internal probe into a £40 million black hole in its accounts.
20181024013000-1038,2018-10-24,Whitbread is planning a major expansion of its hotels business after agreeing the £3.9 billion sale of Costa Coffee to Coca-Cola.
20181024013000-1411,2018-10-24,"Blue-chip shares rose in London this morning after yesterday's falls and the FTSE 100 recovered back above the 7,000 mark."
20181024013000-298,2018-10-24,The owner of DIY chain Wickes will carry on slashing costs after another quarter of falling sales at its shops.
20181024013000-340,2018-10-24,Murder mysteries and a book about race boosted Bloomsbury sales.
20181024013000-439,2018-10-24,Grocery companyOcadosuffered its heaviest one-day loss ever as more than £575 million was wiped off its market value.
20181024013000-556,2018-10-24,McDonald's continued to see sales soar in the UK amid demand for its Happy Meals and Big Macs.
20181024013000-74,2018-10-24,Trafford Centre owner Intu reported a slump in the value of its shopping centres amid a crisis gripping the retail sector.
20181024013000-898,2018-10-24,Lloyds has joined forces with one of the City's most blue-blooded investment firms to target millions of middle-class savers.
20181024074500-289,2018-10-24,Persimmon faces mounting anger over the 'shoddy' quality of its work across the country.
20181024101500-718,2018-10-24,"The blue chip index is in the green at the open, up 0.5 per cent, after an almighty 1.3 per cent crash on Tuesday, which sent the footsie to 7-month lows of 6,944."
20181024140000-14,2018-10-24,Hundreds more High Street jobs have been put at risk today as burger chain Gourmet Burger Kitchen becomes the latest firm to embark on an emergency store closure plan.
20181024144500-2443,2018-10-24,Shares in Metro Bank fell over 13 per cent today as a squeeze on margins and competitive pressures in the mortgage market took the shine off a doubling of profit in the third quarter.
20181024144500-825,2018-10-24,Barclays boss Jes Staley said 2018 was proving to be a 'year of delivery' as the lender's strategy starts to bear fruit.
20181024150000-2507,2018-10-24,"BlackRock, the world's largest fund manager, will keep its biggest European operation and regional headquarters in Britain after Brexit, moving 'only very few' roles to expanded offices in the Netherlands and France, a memo to staff seen by Reuters showed."
20181024193000-225,2018-10-24,The listed energy minnow Yü Group saw its shares plummet by 80 per cent today after it announced a punitive £10million hit from accounting irregularities.
20181024231500-300,2018-10-24,The future of hundreds of staff at Gourmet Burger Kitchen (GBK) is in doubt as the fast-food chain plans store closures.
20181024233000-716,2018-10-24,The financial watchdog is under pressure to launch an investigation into the parent company of Patisserie Valerie as the scandal engulfing the cafe chain deepens.
20181025003000-1240,2018-10-25,Heineken sales rose over the summer as the hot weather boosted demand for beer.
20181025003000-1323,2018-10-25,Tory peer Lord Leigh and veteran financier Jon Moulton have struck a deal which will see broker Finncap hit the London Stock Exchange.
20181025003000-1858,2018-10-25,"GERMAN FALLRevenues at troubled German lender Deutsche Bank slipped to £5.5 billion in the three months to September 30, down 9 per cent on a year earlier."
20181025003000-1931,2018-10-25,Stobart Group will be forced to reveal a raft of sensitive information about the way it is run amid a bitter boardroom battle with its former boss.
20181025003000-2298,2018-10-25,The boss of Barclays is to meet feared corporate raider Ed Bramson for a second time this year as a battle looms over the future of the bank.
20181025003000-769,2018-10-25,Traders wiped off more than £300 million from the value of Metro Bank after it warned of a squeeze from fierce competition in the mortgage market.
20181025094500-437,2018-10-25,FTSE 100 stalwart WPP lost £2.17bn of its stock market value today after a profit warning sent its shares plunging by 17 per cent.
20181025100000-765,2018-10-25,"It's the most wonderful time of the year... unless you're in the retail industry, in which case, with two months until the big day, the pressure is starting to ramp up."
20181025101500-1190,2018-10-25,The finance boss ofLloyds Banking Grouphas unexpectedly announced his retirement from the company.
20181025101500-1841,2018-10-25,Debenhams shares took a tumble in early trading today after the department store chain posted statutory losses of £491.5million - the biggest in its 240-year history.
20181025101500-34,2018-10-25,BThas hired Worldpay boss Philip Jansen as its new chief executive from 1 January 2019.
20181025124500-266,2018-10-25,"Aerospace giant Boeing's first production plant in Sheffield has been branded as 'hugely significant' for South Yorkshire, the North of England and the UK."
20181025143000-802,2018-10-25,"Debenhams' lowly share price rocketed by almost 20 per cent in early trading today, in spite of the firm crashing to a near £500million annual loss, the worst in its 240-year history."
20181025190000-1739,2018-10-25,Insurance groupHastingshas seen its share price fall over 10 per cent amid investor concern over its latest results and future prospects.
20181025203000-2351,2018-10-25,Sainsbury's is putting Oasis concessions in its supermarkets in a bid to grab a bigger slice of the fashion market.
20181025203000-841,2018-10-25,Furniture company ScS is pulling its 27 concessions from House of Fraser stores after the Sports Direct tycoon Mike Ashley bought the department store for £90 million.
20181025220000-687,2018-10-25,Shares in electric car maker Tesla jumped 8 per cent in early trading after it posted its first profit in two years.
20181025224500-1210,2018-10-25,Sky boss Jeremy Darroch will stay on at the UK broadcaster after its £30 billion takeover by Comcast.
20181025234500-1077,2018-10-25,The finance chief who steered the turnaround of Lloyds Banking Group announced his retirement as the lender reported a 7 per cent slide in profits.
20181025234500-1795,2018-10-25,Persimmon boss Jeff Fairburn is under fire from rivals amid growing anger over his £75 million bonus and complaints about the quality of homes.
20181025234500-1917,2018-10-25,A war of words has broken out between the former WPP boss Sir Martin Sorrell and the man who succeeded him over the advertising giant's 'car crash' performance.
20181025234500-1946,2018-10-25,The credit rating agency said B&M's purchase of French retailer Babou was a major risk because it was heavily funded by debt.
20181025234500-1956,2018-10-25,"GOVERNOR HOPEA female governor of the Bank of England would be 'fantastic', MP Nicky Morgan said, as she acknowledged there are 'a lot of glass ceilings' still to be broken."
20181025234500-2634,2018-10-25,"Rising competition caused insurerHastingsto take a dive, as it suffered its worst-ever day on the stock market."
20181025234500-2646,2018-10-25,"BT has hired the boss of payments giant Worldpay as its next chief executive, with a lucrative pay package of more than £9 million."
20181025234500-332,2018-10-25,Patisserie Valerie finance director Chris Marsh has resigned from the embattled cake chain with immediate effect.
20181026013000-1332,2018-10-26,The number of cars built in the UK fell almost 17 per cent last month compared to a year ago.
20181026093000-1556,2018-10-26,The blue chip index has taken another significant tumble in early trading today as global market volatility wages on.
20181026100000-1252,2018-10-26,"A week of turmoil on global markets has resulted in more falls today as the FTSE 100 followed US and Asian indices with a dramatic slide in early trading on Friday, sinking to a level not seen for nearly two years."
20181026191500-2394,2018-10-26,The credit rating agency said B&M's purchase of French retailer Babou was a major risk because it was heavily funded by debt.
20181026221500-1163,2018-10-26,The FBI has launched a criminal probe into Tesla over whether it misled investors regarding the production of its Model 3 sedan cars.
20181026221500-1356,2018-10-26,"Almost 2,500 jobs are at risk at Asda after it revealed it was looking at ways to slash costs."
20181027001500-1155,2018-10-27,British Airways owner IAG's profits have stalled as the airline group struggles to stay on top of soaring fuel costs and a fallout from cyber attacks.
20181027001500-1391,2018-10-27,Technology stocks tanked on Wall Street last night as stock markets around the world slammed into reverse.
20181027001500-2087,2018-10-27,The  boss of Persimmon is fighting for his job after he flounced out of a television interview when asked about his £75m bonus.
20181027001500-906,2018-10-27,"Millennials don’t know they’re born, do they?"
20181027231500-924,2018-10-27,Media giant Disney has sprinkled cinematic cheer ahead of the Budget tomorrow with news it spent more than £85 million in Britain filming festive fairytale The Nutcracker And The Four Realms.
20181027234500-104,2018-10-27,"Banks would face a £4 billion profits slump over the next two years under a no-deal Brexit, analysis reveals."
20181027234500-1078,2018-10-27,"Five of America's biggest technology firms are depriving the Treasury of more than £1 billion a year by vastly understating how much money they make in the UK, an explosive new report claims."
20181027234500-1135,2018-10-27,Pimlico Plumbers recorded record sales over the summer in spite of it being one of the hottest in recent memory.
20181027234500-1477,2018-10-27,"Philip Hammond should scrap the £3 billion apprenticeship levy on companies in tomorrow's Budget rather than tweak it, the boss of the UK's biggest recruiter has said."
20181027234500-1594,2018-10-27,The dismal stock market float of Funding Circle descended into farce last night as it emerged staff offloaded shares at the earliest opportunity.
20181027234500-355,2018-10-27,Stockwatch takes a look at the shares in the news.
20181027234500-604,2018-10-27,Patisserie Valerie bosses are set for a grilling this week as they face investors en masse for the first time since the cafe chain plunged into crisis.
20181027234500-68,2018-10-27,Embattled WPP boss Mark Read came under renewed pressure last night as it emerged that his firm is at the centre of a controversial Saudi Arabian conference.
20181027234500-779,2018-10-27,It's a name that for many people conjures up images of hikers consulting paper maps on windswept crags while navigating their way to the top of Snowdon.
20181027234500-952,2018-10-27,"For the chief executive of a bank that prides itself on plain speaking and exceptional customer service, Joe Gordon is surprisingly hard to understand."
20181028223000-1014,2018-10-28,Ryanair faces a shareholder plot to oust its chairman as anger grows over the handling of several high-profile debacles.
20181028223000-1038,2018-10-28,The City watchdog has warned of growing risks posed to Britain's economy by emerging markets.
20181028223000-185,2018-10-28,The chairman of Sainsbury's has sought to reassure suppliers ahead of the supermarket's £14 billion tie-up with Asda.
20181028223000-316,2018-10-28,"Patisserie Valerie is facing calls for a boardroom clear-out, with potential buyers also circling the embattled café chain."
20181028223000-426,2018-10-28,Stockbroker AJ Bell has revealed plans to hand staff £2m in shares when it goes public.
20181029124500-2736,2018-10-29,"HSBC is leading the footsie higher this morning after reporting better-than-expected profits thanks to growth in current accounts, savings and in its wealth management division."
20181029174500-191,2018-10-29,"The company behind W7 Cosmetics, which recruited Love Island star Olivia Buckland as its new face for 2018, lost nearly half of its market value today after issuing a profit warning."
20181030030000-139,2018-10-30,The new boss of BT took part in a notorious tax avoidance scheme used by celebrities and bankers to skip payments of £700m.
20181030030000-1434,2018-10-30,Shares in Just Eat slid after one broker's taste for the takeaway delivery company rapidly soured.
20181030030000-1502,2018-10-30,Warpaint London's founders are nursing losses of more than £35m after the cosmetics company became the latest victim of the crisis engulfing the High Street.
20181030030000-1710,2018-10-30,"Profits at HSBC have jumped after it managed to tighten its grip on costs, putting wind in the sails of its chief executive's turnaround efforts."
20181030030000-1726,2018-10-30,Burberry is launching fashion lines through social media in a bid to woo young shoppers and shake off its traditional image.
20181030030000-1822,2018-10-30,Two greedy former oil executives who pocketed money from a dodgy business deal have been sentenced to 30 years in prison.
20181030030000-1993,2018-10-30,Business leaders welcomed a shot in the arm for the British economy last night after Philip Hammond unveiled a pro-enterprise Budget.
20181030124500-1683,2018-10-30,Online gambling firms will pay higher taxes to plug a shortfall in Treasury coffers caused by a clampdown on 'crack cocaine' betting machines.
20181030124500-1886,2018-10-30,"Britain's 'jobs miracle' will continue as workers enjoy rising living standards over the next five years, Philip Hammond declared."
20181030124500-2347,2018-10-30,"BP more than doubled profits in the third quarter thanks to rising oil prices, as it prepares to complete its biggest acquisition in 20 years tomorrow."
20181030124500-2625,2018-10-30,Plans to help people struggling to repay debt or access affordable credit have been welcomed.
20181030124500-2630,2018-10-30,Pension savers' money was 'recklessly' invested in eucalyptus farms and hotel rooms on an African island and car parking bays.
20181030124500-360,2018-10-30,"Reckitt Benckiser - the household goods giant behind Durex, Nurofen and Gaviscon - is nursing a 5 per cent fall in its share price today after it came clean on a £70million knock to sales."
20181030124500-512,2018-10-30,Shares in WH Smith jumped 5 per cent in early trading today after the retailer unveiled a takeover that looks set to double its fast-growing international travel business.
20181030124500-567,2018-10-30,"To read on the This is Money app, click here"
20181030124500-931,2018-10-30,The Treasury has set a target of March 2024 by which to sell all of its remaining shares in Royal Bank of Scotland.
20181030124500-969,2018-10-30,"Shares in Restaurant Group, the owner of Frankie & Benny's, crashed today after the group announced it is to acquire Wagamama for £559million."
20181031024500-1090,2018-10-31,More than £2billion was wiped off the value of Reckitt Benckiser after the consumer goods giant revealed its Dutch factory had been hit by major disruption.
20181031024500-1271,2018-10-31,Pressure grew on Persimmon's boss Jeff Fairburn last night as MPs blasted the housebuilder's 'shoddy' treatment of customers.
20181031024500-1956,2018-10-31,ITALY WOESThe eurozone economy slowed sharply in the third quarter amid mounting concerns about the outlook in Italy.
20181031024500-263,2018-10-31,"Carpeting company Victoria, a rug supplier to the Queen, has plummeted for the second day in a row."
20181031024500-443,2018-10-31,Facebook raked in revenues of £10.8billion in just three months over the summer.
20181031024500-470,2018-10-31,Booming oil prices handed BP its best results in five years as profits more than doubled.
20181031103000-1243,2018-10-31,High Street stalwart Next saw its shares slide by 4 per cent in early trading today after it came clean on a ghoulish Autumn trading period.
20181031113000-1366,2018-10-31,"To read on the This is Money app, click here"
20181031113000-80,2018-10-31,Santander UK's pre-tax profits fell by 13 per cent to £1.4billion in the nine months to 30 September.
20181031161500-1596,2018-10-31,William Hillhas seen its share price rise by nearly 10 per cent after splashing out £241million to buy Swedish-based online betting firm Mr Green & Co.
20181031161500-84,2018-10-31,Shares inStandard Charteredare up over 4 per cent after the bank posted a 31 per cent rise in underlying third quarter profits.
20181031170000-2912,2018-10-31,"Britain's biggest carmaker Jaguar Land Rover slumped to a £90million loss in the three months to 30 September, against a £385million profit a year earlier."
20181031233000-931,2018-10-31,Taxes on wealth will cost households £100bn over the next six years in a huge windfall for the Treasury.
20181101021500-1454,2018-11-01,"After suffering its worst month since August 2015, the FTSE 100 ended October on a positive note."
20181101021500-205,2018-11-01,Online shopping at Next has continued to prop up revenues as gloom descended on Britain's high streets.
20181101021500-682,2018-11-01,Britain's biggest car maker has launched a £2.5 billion turnaround plan after problems in all its major markets pushed it into the red.
20181101021500-694,2018-11-01,Booming demand for Glaxosmithkline's new shingles vaccine boosted sales to more than £8 billion in just three months.
20181101021500-941,2018-11-01,Patisserie Valerie boss Luke Johnson will today face angry shareholders in the wake of an accounting scandal that has rocked the cafe chain.
20181101113000-1876,2018-11-01,Skincare products and Chinese customers boosted sales at Estee Lauder by 8 per cent to £2.8 biilion in the three months to September 30.
20181101113000-325,2018-11-01,Meat retailer Crawshaw is calling in administrators after failing to raise emergency funding to stay afloat – putting 600 jobs at risk.
20181101113000-331,2018-11-01,"To read on the This is Money app, click here"
20181101113000-415,2018-11-01,"BT investors breathed a collective sigh of relief this morning, after the telecoms giant raised its full-year forecasts on the back of soaring profits in the first half of the year."
20181101121500-921,2018-11-01,Embattled retailerCarpetrighthas admitted it is still struggling to draw in customers and secure sales.
20181101163000-2727,2018-11-01,The chairman of Patisserie Valerie has admitted the company was just 'three hours' away from going bankrupt before emergency funds were raised.
20181101211500-462,2018-11-01,Anglo-Dutch oil giantRoyal Dutch Shellhas reported a surge in third quarter earnings amid rising oil prices.
20181101234500-858,2018-11-01,Music streaming giant Spotify was hammered by investors after saying it was putting expansion before profits.
20181102020000-1621,2018-11-02,Two former Goldman Sachs bankers were last night charged in the US with laundering billions of dollars from a Malaysian state fund.
20181102020000-199,2018-11-02,The retired founder of car insurer Admiral has invested £19million in the company's struggling US price comparison site.
20181102020000-2020,2018-11-02,Patisserie Valerie boss Luke Johnson has been lambasted by angry shareholders at a crunch meeting to save the stricken cafe chain from collapse.
20181102020000-283,2018-11-02,Outgoing BT boss Gavin Patterson insisted the telecoms giant was back on its feet as he prepared to hand over the reins to his successor.
20181102020000-295,2018-11-02,Apple last night revealed annual profits of nearly £46billion as it prepared to push a blockbuster line-up of products for Christmas.
20181102020000-55,2018-11-02,MINING BONANZAShareholders in BHP Billiton were feeling flush as the mining giant promised to return £8billion to them.
20181102020000-718,2018-11-02,Royal Dutch Shell booked £850million in revenue per day over the summer as it cashed in on rising oil prices.
20181102020000-994,2018-11-02,Assurances from Carpetright that its turnaround is on track have done little to shore up investor confidence.
20181102111500-601,2018-11-02,"Three-year old floorings chain Tapi Carpets has laid off staff, as it is struck by the same torrid market conditions that hurt its rival Carpetright and other retailers."
20181102113000-2215,2018-11-02,Swedish furniture giant Ikea is sitting pretty in the UK as investment in new stores and improvements to its online offer are starting to pay off.
20181102113000-228,2018-11-02,"To read on the This is Money app, click here"
20181102161500-1701,2018-11-02,"Paddy Power Betfair's full-year profit forecasts have been upgraded after high stakes gamblers from New York splashed out $1.5million (£1.1million) a day, significantly boosting its US sales."
20181103020000-1032,2018-11-03,Tesla has finally received a court summons from the US financial watchdog related to production estimates for its Model 3 car.
20181103020000-1187,2018-11-03,Marks & Spencer's investors will have to wait a while longer to see the fruits of its recovery plan as analysts expect it to report 'deeply underwhelming' results next week.
20181103020000-1386,2018-11-03,Rona whoooooo?'
20181103020000-20,2018-11-03,An investment banking veteran has been named Barclays' chairman to replace John McFarlane.
20181103020000-242,2018-11-03,"Public-sector workers bring home more on average than their private-sector counterparts and are likely to have better pensions, according to official figures."
20181103020000-849,2018-11-03,"British Airways' owner IAG has taken a bullish bet on post-Brexit Britain, promising to invest an extra £440m every year in the airline."
20181104221500-1233,2018-11-04,Mulberry is set to take a major hit this week as the crisis at House of Fraser claims another victim.
20181104221500-1388,2018-11-04,Barclays is under growing pressure after it emerged that incoming chairman Nigel Higgins has invested in tax avoidance schemes.
20181104221500-1593,2018-11-04,Profits at UK-listed firms have hit a record high – but business confidence about the future is at its lowest in nearly a decade.
20181104221500-216,2018-11-04,Cafe Rouge has called in restructuring advisers as it prepares to go head-to-head with landlords in a bid to reduce its rent bill.
20181105121500-2163,2018-11-05," To read on the This is Money app, click here"
20181105121500-791,2018-11-05,ITV boss Carolyn McCall is set to be reunited with former colleague Chris Kennedy as the group has appointed him as its new chief financial officer.
20181105163000-2681,2018-11-05,"The world’s most famous investor sees little of value on the global stock market at the moment, it seems from his latest move."
20181105163000-2838,2018-11-05,Some 354 workers have lost their job at meat retailer Crawshaw as the company shut down 35 stores and one distribution centre.
20181105223000-1173,2018-11-05,A builder and his wife have hit the jackpot after investing in a North Sea oil firm whose shares have soared.
20181105223000-496,2018-11-05,High Streets are facing a make-or-break Christmas as shoppers desert stores and flock online.
20181105231500-1449,2018-11-05,A power struggle has broken out at Airbus supplier Velocity Composites as founder and former boss Jon Bridges demands to be reinstated on the board.
20181106014500-1146,2018-11-06,"Renewi's boss is leaving to join turnaround specialists Melrose, which controversially acquired British engineer GKN earlier this year."
20181106014500-317,2018-11-06,ITV boss Dame Carolyn McCall has brought in a former ally as the broadcaster's finance chief.
20181106014500-675,2018-11-06,The company building a fertiliser mine under the North York Moors national park has hired engineers to develop its port facilities.
20181106014500-737,2018-11-06,TRAIN TERRORA runaway train operated by mining group BHP had to be derailed in Western Australia yesterday after it travelled 57 miles without a driver.
20181106014500-875,2018-11-06,One of the world’s richest men is lining up a deal to buy a prime west London development in a major vote of confidence in Brexit Britain.
20181106114500-1354,2018-11-06,"Lloyds Banking Group will cut around 6,240 jobs, while adding 8,240 new roles as part of a planned £3billion overhaul, the bank has confirmed."
20181106114500-1518,2018-11-06,Shares in supermarketMorrisonsare down over 3 per cent after the group's retail sales started to slow in the three months to 4 November.
20181106120000-309,2018-11-06,Beyonce and her daughter Blue Ivy pose in matching floral dresses – in a ‘twinning’ trend which has proved a moneyspinner for high street giant Primark.
20181106160000-281,2018-11-06,Online estate agencyPurplebrickshas reported a 20 per cent year-on-year sales increase across its UK operations in the last six months.
20181107011500-1096,2018-11-07,The Co-op Bank has returned to profit for the first time since being rocked by a drugs scandal involving its chairman.
20181107011500-1156,2018-11-07,A Lincolnshire crisp maker that vowed never to supply the UK’s big supermarkets has been sold to US food and drinks group Pepsico for more than £20million.
20181107011500-12,2018-11-07,The former chief executive of the London Stock Exchange has joined pharmaceuticals company Verseon as a non-executive director.
20181107011500-1434,2018-11-07,British telecoms firms could be banned from using Chinese equipment as they build 5G networks amid spying fears.
20181107011500-1512,2018-11-07,"The Government's gambling crackdown has disappointed investors in William Hill, as the company downgraded its full-year profit expectations."
20181107011500-1822,2018-11-07,"EURO WOEIHS Markit’s index of activity in the eurozone, where scores above 50 show growth, fell to 53.1 in October, the weakest since September 2016, as trade tensions and political uncertainty start to bite."
20181107011500-2044,2018-11-07,Imperial Brands is planning fresh investment in its vaping products as customers increasingly ditch traditional cigarettes.
20181107011500-2284,2018-11-07,Around 570 jobs in the UK are under threat after a German manufacturer announced plans to close two sites amid 'uncertainty surrounding Brexit'.
20181107011500-988,2018-11-07,Brian Roberts is far from the typical buccaneering media tycoon.
20181107100000-1330,2018-11-07,New Look is preparing to axe as many as 124 stores as sales continue to plunge.
20181107114500-353,2018-11-07,"Pub group JD Wetherspoon expects annual results to be weaker than the previous year, despite sales growing 'strongly'."
20181107144500-1903,2018-11-07,"Shares inITVhave fallen over 5 per cent this morning, after the broadcaster admitted its advertising revenues have started to fall during the latter stages of the year."
20181107194500-1770,2018-11-07,"The chairman of the John Lewis Partnership has announced he is stepping down from the group in 2020, and the search for his replacement has already begun."
20181107194500-596,2018-11-07,Shares inG4Shave fallen over 17 per cent after the company warned it is not expecting any annual growth in profits.
20181108004500-1264,2018-11-08,"OIL FUTUREReserves from the North Sea are sufficient to help sustain oil and gas production for at least the next 20 years, new figures indicate."
20181108004500-1643,2018-11-08,Netflix's product chief has vowed to press ahead with the streaming giant's global expansion – with a push into new foreign language content.
